SnapNo,Mgas,Mstar,SFR
50,12974079000.0,414261280.0,0.7335862
51,17974655000.0,643160960.0,3.0778654
52,17782458000.0,983629440.0,3.0089147
53,17863256000.0,1272889000.0,2.260364
54,21038006000.0,1458328800.0,1.5925118
55,23384244000.0,1598208000.0,1.4548287
56,21519792000.0,1746161700.0,1.6385907
57,24643138000.0,2012881300.0,2.6142502
58,37978820000.0,2590354700.0,3.2843597
59,45430050000.0,3560341000.0,5.6056557
60,44203917000.0,3913773600.0,4.455657
61,47370772000.0,4087700200.0,2.7639766
62,57723417000.0,5286594600.0,3.7664735
63,63345730000.0,5689897500.0,5.051831
64,68626940000.0,7117684000.0,10.412384
65,67506190000.0,8120795000.0,9.638225
66,67645346000.0,9063428000.0,8.657193
67,72041030000.0,9683866000.0,6.503824
68,75155110000.0,11151966000.0,11.004982
69,71078530000.0,11989840000.0,7.726412
70,71207090000.0,12725323000.0,7.745519
71,71489680000.0,13370630000.0,5.972918
72,72895400000.0,13905486000.0,5.587825
73,73568130000.0,14247802000.0,4.792854
74,76072920000.0,14616451000.0,4.9276733
75,76806290000.0,15201253000.0,6.496924
76,78279940000.0,15816094000.0,8.310921
77,78966330000.0,16580567000.0,8.5768795
78,80479450000.0,17594320000.0,10.675604
79,81107730000.0,18502128000.0,9.153266
80,82216820000.0,19171967000.0,6.971831
81,82504410000.0,19808483000.0,7.8126516
82,83632060000.0,20490721000.0,7.7003794
83,84287290000.0,21315445000.0,9.16333
84,85269380000.0,22229135000.0,9.68369
85,86779470000.0,22959050000.0,9.631003
86,85440050000.0,23959384000.0,11.006547
87,86390260000.0,25056152000.0,10.91011
88,85956600000.0,25863625000.0,9.890934
89,86205870000.0,26882280000.0,9.153198
90,85807310000.0,27632710000.0,9.755608
91,84375900000.0,28783954000.0,9.202709
92,83918350000.0,29487161000.0,9.064728
93,84205126000.0,30371901000.0,8.303243
94,83588506000.0,31099075000.0,9.358098
95,83301520000.0,31798514000.0,8.523087
96,83628440000.0,32412470000.0,8.29193
97,83600835000.0,33393470000.0,9.002694
98,82253685000.0,34271140000.0,10.238514
99,82327650000.0,35250295000.0,10.272824
100,79018476000.0,36129580000.0,9.788103
101,77887150000.0,36851667000.0,7.5740614
102,77271130000.0,37367247000.0,6.07794
103,75801050000.0,37867508000.0,6.9694877
104,75197370000.0,38434628000.0,6.510274
105,74112830000.0,38986715000.0,6.705766
106,73051830000.0,39558947000.0,7.108723
107,71492300000.0,40122515000.0,5.6781573
108,70984335000.0,40522010000.0,5.2027016
109,70669140000.0,40899416000.0,4.311617
110,70089610000.0,41112584000.0,4.664752
111,70130580000.0,41476305000.0,4.5730534
112,69501846000.0,41828925000.0,4.6278815
113,68577610000.0,42227560000.0,4.886673
114,68069077000.0,42630525000.0,4.636434
115,68689867000.0,42875990000.0,4.0847936
116,69070545000.0,43228120000.0,3.747566
117,68691706000.0,43492585000.0,3.5457113
118,68799810000.0,43697086000.0,3.7657065
119,68813414000.0,44113920000.0,4.4805417
120,68882080000.0,44465160000.0,3.6548893
121,68794950000.0,44698894000.0,4.467158
122,69378780000.0,45047010000.0,3.0716949
123,69472895000.0,45314610000.0,3.3101997
124,69029610000.0,45550410000.0,4.1155953
125,68594848000.0,45919478000.0,3.5380983
126,67592780000.0,46107090000.0,3.1507993
127,66840736000.0,46409170000.0,3.1055772
